upc,product,size,product_label
3800001520,KELLOGG'S FROSTED FL,20 OZ,KELLOGG'S FROSTED FL | 20 OZ | 3800001520
1600067460,TRIX/CHEERIOS CRAYOL,ASSTD,TRIX/CHEERIOS CRAYOL | ASSTD | 1600067460
1313001041,NABISCO OAT BRAN RAI,15.5 O,NABISCO OAT BRAN RAI | 15.5 O | 1313001041
1780014834,RALSTON DOUBLE CHEX,19.25Z,RALSTON DOUBLE CHEX | 19.25Z | 1780014834
1780016201,HONEY NUT OAT CHEX,16 OZ,HONEY NUT OAT CHEX | 16 OZ | 1780016201
3800001744,FRUIT LOOPS SHIPPER,1 OZ,FRUIT LOOPS SHIPPER | 1 OZ | 3800001744
3800013520,KELLOGGS DOUBLE DIP,14.8 O,KELLOGGS DOUBLE DIP | 14.8 O | 3800013520
3800013644,KEL FRST BRAN TRIAL,1.5 OZ,KEL FRST BRAN TRIAL | 1.5 OZ | 3800013644
1600068640,COUNT CHOCULA CEREAL,12 OZ,COUNT CHOCULA CEREAL | 12 OZ | 1600068640
3800005231,KELLOGG'S FUN PAK,6.4 OZ,KELLOGG'S FUN PAK | 6.4 OZ | 3800005231
4300011410,POST RAISIN BRAN,15 OZ,POST RAISIN BRAN | 15 OZ | 4300011410
1313002402,TEDDY GRAHAMS BRKFST,15 OZ,TEDDY GRAHAMS BRKFST | 15 OZ | 1313002402
1313005154,NAB FROSTED WHEAT,20 OZ,NAB FROSTED WHEAT | 20 OZ | 1313005154
1313018155,~NABISCO FROSTED WHE,15 OZ,~NABISCO FROSTED WHE | 15 OZ | 1313018155
1600062360,TRIPLES/KRAFT MARSHM,18.7 O,TRIPLES/KRAFT MARSHM | 18.7 O | 1600062360
3800000520,KELLOGGS RICE KRISPI,15 OZ,KELLOGGS RICE KRISPI | 15 OZ | 3800000520
3800012400,KELL BIG MIX W/RAISI,20 OZ,KELL BIG MIX W/RAISI | 20 OZ | 3800012400
3800012500,KELL NUT & HONY CRUN,15.5 O,KELL NUT & HONY CRUN | 15.5 O | 3800012500
3000034862,QUAKER COCOA BLASTS,13 OZ,QUAKER COCOA BLASTS | 13 OZ | 3000034862
3800014500,KELL HC MULTI-GRAIN,16.5OZ,KELL HC MULTI-GRAIN | 16.5OZ | 3800014500
3800054275,KELLOGGS CORN FLAKES,48 OZ,KELLOGGS CORN FLAKES | 48 OZ | 3800054275
1600065960,TOTAL CORN FLAKES,10 OZ,TOTAL CORN FLAKES | 10 OZ | 1600065960
3000001680,QUAKER RTE OAT BRAN,15.5OZ,QUAKER RTE OAT BRAN | 15.5OZ | 3000001680
1600068879,HOLIDAY LUCKY CHARMS,14 OZ,HOLIDAY LUCKY CHARMS | 14 OZ | 1600068879
1600069900,HONEY TOASTED OAT FI,9 OZ,HONEY TOASTED OAT FI | 9 OZ | 1600069900
3800000828,KELLOGGS RAISIN BRAN,25.5 O,KELLOGGS RAISIN BRAN | 25.5 O | 3800000828
3800005332,KELLOGGS VARIETY PAC,10.5OZ,KELLOGGS VARIETY PAC | 10.5OZ | 3800005332
3800008200,KEL MUSELIX GOLDEN C,15.9OZ,KEL MUSELIX GOLDEN C | 15.9OZ | 3800008200
4300012610,POST GRT GRNS RSN DA,16 OZ,POST GRT GRNS RSN DA | 16 OZ | 4300012610
1600066590,HONEY NUT CHEERIOS,14 OZ,HONEY NUT CHEERIOS | 14 OZ | 1600066590
4300011650,POST BANANA NUT CRUN,15.5 O,POST BANANA NUT CRUN | 15.5 O | 4300011650
4300011780,$POST GOLDEN CRISP 1,11 OZ,$POST GOLDEN CRISP 1 | 11 OZ | 4300011780
4300012550,POST BRAN'NOLA CEREA,16 OZ,POST BRAN'NOLA CEREA | 16 OZ | 4300012550
1600094840,GENERAL MILLS BASIC,16.2 O,GENERAL MILLS BASIC | 16.2 O | 1600094840
1780000072,DOUBLE CHEX PP .39Õ,1 OZ,DOUBLE CHEX PP .39Õ | 1 OZ | 1780000072
4300010526,POST GRAPE NUTS BONU,32 OZ,POST GRAPE NUTS BONU | 32 OZ | 4300010526
5571206700,WEETABIX WHL WHT CER,7 OZ,WEETABIX WHL WHT CER | 7 OZ | 5571206700
7276201213,FAMILIA,12 OZ,FAMILIA | 12 OZ | 7276201213
3800001070,KELLOGG'S CORN POPS,18.8 O,KELLOGG'S CORN POPS | 18.8 O | 3800001070
3828125033,DOM RAISIN BRAN,25.5 O,DOM RAISIN BRAN | 25.5 O | 3828125033
1780017909,ADDAMS FAMILY CEREAL,11 OZ,ADDAMS FAMILY CEREAL | 11 OZ | 1780017909
3800001912,KELLOGGS PRODUCT 19,12 OZ,KELLOGGS PRODUCT 19 | 12 OZ | 3800001912
3800013700,~KELLOGG LOWFAT GRAN,14 OZ,~KELLOGG LOWFAT GRAN | 14 OZ | 3800013700
1600068350,TOTAL RAISIN BRAN,18 OZ,TOTAL RAISIN BRAN | 18 OZ | 1600068350
1600062580,G. MILLS BENEFIT W/R,15 OZ,G. MILLS BENEFIT W/R | 15 OZ | 1600062580
1600062640,G.M. BERRY BERRY KIX,18 OZ,G.M. BERRY BERRY KIX | 18 OZ | 1600062640
1600062740,BIG G APPLE-CIN CHEE,1.35 O,BIG G APPLE-CIN CHEE | 1.35 O | 1600062740
3800000535,KELLOGGS RICE KRISPI,19 OZ,KELLOGGS RICE KRISPI | 19 OZ | 3800000535
3800000640,~KELL COMPLETE BRAN,12 OZ,~KELL COMPLETE BRAN | 12 OZ | 3800000640
3800000801,KELLOGGS RAISIN BRAN,10.5OZ,KELLOGGS RAISIN BRAN | 10.5OZ | 3800000801
3800012121,KELL COMMONSENSE FLA,14.8 O,KELL COMMONSENSE FLA | 14.8 O | 3800012121
1600065420,GENERAL MILLS CLUSTE,13 OZ,GENERAL MILLS CLUSTE | 13 OZ | 1600065420
3000034863,QKR BAGGED CEREAL-FR,14 OZ,QKR BAGGED CEREAL-FR | 14 OZ | 3000034863
3800000000,RICE KRISPIES HOLIDA,15 OZ,RICE KRISPIES HOLIDA | 15 OZ | 3800000000
3828125117,DOM CRISPY CORN & RI,12.3 O,DOM CRISPY CORN & RI | 12.3 O | 3828125117
3828125125,DOM FROSTED TASTEEO',14 OZ,DOM FROSTED TASTEEO' | 14 OZ | 3828125125
4240090520,MALT O MEAL CRISP N,40 OZ,MALT O MEAL CRISP N | 40 OZ | 4240090520
3000006410,QUAKER PUFFED WHEAT,6 OZ,QUAKER PUFFED WHEAT | 6 OZ | 3000006410
3000006500,QUAKER P.B. CAPTAIN,15 OZ,QUAKER P.B. CAPTAIN | 15 OZ | 3000006500
3800003900,KELLOGGS APPLE RAISI,13 OZ,KELLOGGS APPLE RAISI | 13 OZ | 3800003900
3800016400,~KEL TEMPTATION FR V,11.9 O,~KEL TEMPTATION FR V | 11.9 O | 3800016400
1862702345,KASHI PUFFED CEREAL,7.5 OZ,KASHI PUFFED CEREAL | 7.5 OZ | 1862702345
2430003155,SUNBELT BERRY BASIC,12 OZ,SUNBELT BERRY BASIC | 12 OZ | 2430003155
3000002150,QUAKER HONEY CRNCH R,13 OZ,QUAKER HONEY CRNCH R | 13 OZ | 3000002150
3000002350,KRETCHMER HONEY WHT,10 OZ,KRETCHMER HONEY WHT | 10 OZ | 3000002350
3800002400,KELLOGGS STRAWBERRY,16.5OZ,KELLOGGS STRAWBERRY | 16.5OZ | 3800002400
3800002727,KELLOGG FROSTED MINI,20.4 O,KELLOGG FROSTED MINI | 20.4 O | 3800002727
1600068920,GENERAL MILLS KABOOM,10 OZ,GENERAL MILLS KABOOM | 10 OZ | 1600068920
1600069320,GOLDEN GRAHAMS,13 OZ,GOLDEN GRAHAMS | 13 OZ | 1600069320
3800008220,MUSELIX APPL ALM CRN,15.9 O,MUSELIX APPL ALM CRN | 15.9 O | 3800008220
4300012970,POST FRUITY PEBBLES,11 OZ,POST FRUITY PEBBLES | 11 OZ | 4300012970
4300018005,NABISCO SHREDDED WHE,15 OZ,NABISCO SHREDDED WHE | 15 OZ | 4300018005
3800003801,KELLOGGS FRUITFUL BR,15 OZ,KELLOGGS FRUITFUL BR | 15 OZ | 3800003801
1600081570,GM JURASSIC CRUNCH C,11.25O,GM JURASSIC CRUNCH C | 11.25O | 1600081570
1600087030,GM OATMEAL RAISIN CR,21.5 O,GM OATMEAL RAISIN CR | 21.5 O | 1600087030
1780010618,RALSTON BLBRY PECAN,13.5OZ,RALSTON BLBRY PECAN | 13.5OZ | 1780010618
5537051730,LIFESTREAM FRT & NUT,12.4OZ,LIFESTREAM FRT & NUT | 12.4OZ | 5537051730
1600067030,OATMEAL RAISIN CRISP,20 OZ,OATMEAL RAISIN CRISP | 20 OZ | 1600067030
1600067400,TRIX,17 OZ,TRIX | 17 OZ | 1600067400
3000007830,QUAKER OH'S CRUNCHY,12.75,QUAKER OH'S CRUNCHY | 12.75 | 3000007830
1313000002,NAB SHREDDED WHEAT,10 OZ,NAB SHREDDED WHEAT | 10 OZ | 1313000002
1313000032,NABISCO 100% BRAN,17 OZ,NABISCO 100% BRAN | 17 OZ | 1313000032
1780016308,BATMAN CEREAL,14 OZ,BATMAN CEREAL | 14 OZ | 1780016308
3800001631,KELLOGG'S SPEC-K-HAN,5 OZ,KELLOGG'S SPEC-K-HAN | 5 OZ | 3800001631
3800001711,KELL FROOT LOOPS PP$,10.9 O,KELL FROOT LOOPS PP$ | 10.9 O | 3800001711
3800013830,KLLG LWFT GRANOLA W/,18 OZ,KLLG LWFT GRANOLA W/ | 18 OZ | 3800013830
3800004972,KELLOGGS MINI WHEATS,1.2OZ,KELLOGGS MINI WHEATS | 1.2OZ | 3800004972
3800000311,~KELLOGG'S FRSTD RIC,14 OZ,~KELLOGG'S FRSTD RIC | 14 OZ | 3800000311
3800000600,~KELLOGG BRAN FLAKES,17.3 O,~KELLOGG BRAN FLAKES | 17.3 O | 3800000600
3800000810,KELLOGGS RAISIN BRAN,15 OZ,KELLOGGS RAISIN BRAN | 15 OZ | 3800000810
79166918982,COOKIE CRISP CHOCOLA,11 OZ,COOKIE CRISP CHOCOLA | 11 OZ | 79166918982
79166919541,RALSTON CORN CHEX,12 OZ,RALSTON CORN CHEX | 12 OZ | 79166919541
1600064450,BIG G SPRINKLE SPANG,13 OZ,BIG G SPRINKLE SPANG | 13 OZ | 1600064450
1600064840,BASIC 4,14.8 O,BASIC 4 | 14.8 O | 1600064840
1600065120,B.C CINN STREUSEL CE,13.75O,B.C CINN STREUSEL CE | 13.75O | 1600065120
4300010300,POST GOLDEN RAISIN C,15.5 O,POST GOLDEN RAISIN C | 15.5 O | 4300010300
2430003165,SUNBELT GRANOLA CERE,16 OZ,SUNBELT GRANOLA CERE | 16 OZ | 2430003165
4300012600,POST GREAT GRAINS DB,16 OZ,POST GREAT GRAINS DB | 16 OZ | 4300012600
1600066820,H.N. CHEERIOS BND PK,28 OZ,H.N. CHEERIOS BND PK | 28 OZ | 1600066820
1600066960,OATMEAL RAISIN CRISP,2.3OZ,OATMEAL RAISIN CRISP | 2.3OZ | 1600066960
3000006740,QUAKER NATURAL LOWFA,15.5 O,QUAKER NATURAL LOWFA | 15.5 O | 3000006740
1600087110,BIG G OATMEAL CRISP,16.8 O,BIG G OATMEAL CRISP | 16.8 O | 1600087110
1780010375,RALSTON MUESLI RAISI,13.5OZ,RALSTON MUESLI RAISI | 13.5OZ | 1780010375
4300010910,POST GRAPE NUT FLAKE,18 OZ,POST GRAPE NUT FLAKE | 18 OZ | 4300010910
7151801022,HODGSON MILLS OAT BR,16 OZ,HODGSON MILLS OAT BR | 16 OZ | 7151801022
3000006760,QUAKER 100% NATURAL,16 OZ,QUAKER 100% NATURAL | 16 OZ | 3000006760
1313000054,NAB SPOON SIZE SHRED,17.2 O,NAB SPOON SIZE SHRED | 17.2 O | 1313000054
1780014407,OAT BRAN OPTIONS,17 OZ,OAT BRAN OPTIONS | 17 OZ | 1780014407
3000006150,QUAKER CINAMON OAT S,16 OZ,QUAKER CINAMON OAT S | 16 OZ | 3000006150
4300011460,POST RAISIN BRAN,20 OZ,POST RAISIN BRAN | 20 OZ | 4300011460
4117314002,DOM OAT HONEY,16 OZ,DOM OAT HONEY | 16 OZ | 4117314002
4300010450,POST FRUIT&FIBER DAT,14 OZ,POST FRUIT&FIBER DAT | 14 OZ | 4300010450
1600065700,CINNAMON TOAST CRUNC,14 OZ,CINNAMON TOAST CRUNC | 14 OZ | 1600065700
3800004120,KELLOGGS JUST RT FRT,20 OZ,KELLOGGS JUST RT FRT | 20 OZ | 3800004120
3800054280,KELLOGS FRSTED FLKS,50 OZ,KELLOGS FRSTED FLKS | 50 OZ | 3800054280
1780019062,MULTI BRAN CHEX BONU,19.2 O,MULTI BRAN CHEX BONU | 19.2 O | 1780019062
3800000820,KELLOGG'S RAISIN BRA,20 OZ,KELLOGG'S RAISIN BRA | 20 OZ | 3800000820
3800001004,KELLOGG CORN POPS P.,13 OZ,KELLOGG CORN POPS P. | 13 OZ | 3800001004
3800008000,KELLOGGS MUESLIX FIV,14.1 O,KELLOGGS MUESLIX FIV | 14.1 O | 3800008000
3800008020,MUESLIX RSN ALM CRNC,15.3 O,MUESLIX RSN ALM CRNC | 15.3 O | 3800008020
4300012601,POST GRT GRAINS CRUN,16 OZ,POST GRT GRAINS CRUN | 16 OZ | 4300012601
4300012974,FRUITY PEBBLES ON BO,17 OZ,FRUITY PEBBLES ON BO | 17 OZ | 4300012974
1600066750,HONEY NUT CHEERIOS,20 OZ,HONEY NUT CHEERIOS | 20 OZ | 1600066750
3800003301,KELLOGGS FRUITY MRSH,14 OZ,KELLOGGS FRUITY MRSH | 14 OZ | 3800003301
4300011862,POST MARSHMALLO ALPH,14 OZ,POST MARSHMALLO ALPH | 14 OZ | 4300011862
4300010713,~POST TOASTIES,18 OZ,~POST TOASTIES | 18 OZ | 4300010713
4300018054,NAB SPOON SIZE SHRED,17.2 O,NAB SPOON SIZE SHRED | 17.2 O | 4300018054
3800001500,KELLOGGS SUGAR FROST,10 OZ,KELLOGGS SUGAR FROST | 10 OZ | 3800001500
1780014973,RALSTON DOUBLE CHEX,19.25Z,RALSTON DOUBLE CHEX | 19.25Z | 1780014973
1780016515,PRINCE OF THIEVES CE,11.5 O,PRINCE OF THIEVES CE | 11.5 O | 1780016515
3800001630,KELLOGG'S SPEC-K-HAN,5 OZ,KELLOGG'S SPEC-K-HAN | 5 OZ | 3800001630
3800012800,KELLOGGS HEARTWISE C,10.3OZ,KELLOGGS HEARTWISE C | 10.3OZ | 3800012800
3800013010,KELLOGG KENMEI RICE,17 OZ,KELLOGG KENMEI RICE | 17 OZ | 3800013010
3800013730,KELLOGG'S LOW FAT GR,18.5 O,KELLOGG'S LOW FAT GR | 18.5 O | 3800013730
3800004510,KELLOGG'S CRACKLIN O,14 OZ,KELLOGG'S CRACKLIN O | 14 OZ | 3800004510
1600062370,$ GEN MILLS TRIPLES,13.3 O,$ GEN MILLS TRIPLES | 13.3 O | 1600062370
1600062760,APPLE CINNAMON CHEER,21 OZ,APPLE CINNAMON CHEER | 21 OZ | 1600062760
79166919305,MULTI BRAN CHEX CERE,16 OZ,MULTI BRAN CHEX CERE | 16 OZ | 79166919305
1600064400,GENERAL MILLS SUN CR,14.5 O,GENERAL MILLS SUN CR | 14.5 O | 1600064400
3000043338,QUAKER LIFE CEREAL T,1 OZ,QUAKER LIFE CEREAL T | 1 OZ | 3000043338
3828125113,DOM CRISP CRUNCH,16 OZ,DOM CRISP CRUNCH | 16 OZ | 3828125113
3828198105,DOM TRIAL SIZE CEREA,144 CT,DOM TRIAL SIZE CEREA | 144 CT | 3828198105
4240091320,MALT O MEAL TOOTIE F,40 OZ,MALT O MEAL TOOTIE F | 40 OZ | 4240091320
3000006230,CAP N CRUNCH DEEP SE,15 OZ,CAP N CRUNCH DEEP SE | 15 OZ | 3000006230
3800054276,KELL RICE CRISPIES $,38 OZ,KELL RICE CRISPIES $ | 38 OZ | 3800054276
3800054279,KELLOGGS RAISIN BRAN,51 OZ,KELLOGGS RAISIN BRAN | 51 OZ | 3800054279
1600065910,GENERAL MILLS CLUSTE,15.5OZ,GENERAL MILLS CLUSTE | 15.5OZ | 1600065910
1600068780,MULTI GRAIN CHEERIOS,11.25O,MULTI GRAIN CHEERIOS | 11.25O | 1600068780
3800001003,KELLOGG'S CORN POPS,10.9 O,KELLOGG'S CORN POPS | 10.9 O | 3800001003
3800008800,KELLOGGS BLUEBERRY S,16.5OZ,KELLOGGS BLUEBERRY S | 16.5OZ | 3800008800
1600066610,CHEERIOS,15 OZ,CHEERIOS | 15 OZ | 1600066610
3800003700,KELLOGS RAISIN SQUAR,16.5OZ,KELLOGS RAISIN SQUAR | 16.5OZ | 3800003700
1600069910,CINNAMON FINGOS,8.25 O,CINNAMON FINGOS | 8.25 O | 1600069910
1780010605,~MUESLI STRAWBERRY P,13.5OZ,~MUESLI STRAWBERRY P | 13.5OZ | 1780010605
4300018059,NABISCO WHEAT N BRAN,18 OZ,NABISCO WHEAT N BRAN | 18 OZ | 4300018059
5200034847,POPEYE PUFFED RICE,6 OZ,POPEYE PUFFED RICE | 6 OZ | 5200034847
7572514080,~GENERIC QUICK OATS,42 OZ,~GENERIC QUICK OATS | 42 OZ | 7572514080
3000006990,QUAKER RICE BRAN,13.75O,QUAKER RICE BRAN | 13.75O | 3000006990
3800001011,KELLOGGS CORN POPS,15 OZ,KELLOGGS CORN POPS | 15 OZ | 3800001011
1313000005,NABISCO SHREDDED WHE,15 OZ,NABISCO SHREDDED WHE | 15 OZ | 1313000005
1313000050,NAB SPOON SIZE SHRED,23.45O,NAB SPOON SIZE SHRED | 23.45O | 1313000050
1780016023,GHOST BUSTERS II CER,14 OZ,GHOST BUSTERS II CER | 14 OZ | 1780016023
1780016311,BATMAN RETURNS CEREA,12.5OZ,BATMAN RETURNS CEREA | 12.5OZ | 1780016311
3800001621,KELLOGGS SPECIAL K,18 OZ,KELLOGGS SPECIAL K | 18 OZ | 3800001621
3800013510,KELLOGGS DOUBLE DIP,12.1 O,KELLOGGS DOUBLE DIP | 12.1 O | 3800013510
3800013544,KELLOGG DOUBLE DIP S,1 OZ,KELLOGG DOUBLE DIP S | 1 OZ | 3800013544
3800013600,~KELLOGG FROSTED BRA,18.9 O,~KELLOGG FROSTED BRA | 18.9 O | 3800013600
1600068310,GM TOTAL RAISIN BRAN,13.5OZ,GM TOTAL RAISIN BRAN | 13.5OZ | 1600068310
1600068360,TOTAL RAISIN BRAN,24 OZ,TOTAL RAISIN BRAN | 24 OZ | 1600068360
1600062600,G. MILLS BENEFIT CER,12.5 O,G. MILLS BENEFIT CER | 12.5 O | 1600062600
3800010900,NUTRI GRAN RAISIN BR,11 OZ,NUTRI GRAN RAISIN BR | 11 OZ | 3800010900
1600064760,WHEATIES QUARTERBACK,13.5OZ,WHEATIES QUARTERBACK | 13.5OZ | 1600064760
3000034855,$QUAKER APPLE ZAPS,14 OZ,$QUAKER APPLE ZAPS | 14 OZ | 3000034855
3828198101,DOM TRIAL SIZE CEREA,144 CT,DOM TRIAL SIZE CEREA | 144 CT | 3828198101
4165345678,UNCLE SAM CEREAL,10 OZ,UNCLE SAM CEREAL | 10 OZ | 4165345678
3000006201,CAP'N CRUNCH 50[ OFF,20 OZ,CAP'N CRUNCH 50[ OFF | 20 OZ | 3000006201
3800004110,KELLOGGS JUST RT FRT,14.1 O,KELLOGGS JUST RT FRT | 14.1 O | 3800004110
3800004210,KELLOGGS JUST RIGHT,11 OZ,KELLOGGS JUST RIGHT | 11 OZ | 3800004210
3800090120,KELLOGG'S CORN FLAKE,32 OZ,KELLOGG'S CORN FLAKE | 32 OZ | 3800090120
1780019266,RALSTON CORN CHEX,12 OZ,RALSTON CORN CHEX | 12 OZ | 1780019266
3800002720,KLLGG SGR FRSTD MINI,16 OZ,KLLGG SGR FRSTD MINI | 16 OZ | 3800002720
1600068170,COCOA PUFFS,12 OZ,COCOA PUFFS | 12 OZ | 1600068170
1600069270,HONEY NUT CHEERIOS,27 OZ,HONEY NUT CHEERIOS | 27 OZ | 1600069270
3800008700,S.W. GRAHAM BRWN SGR,17 OZ,S.W. GRAHAM BRWN SGR | 17 OZ | 3800008700
3800010400,KELLOGGS NUTRI GRAIN,12 OZ,KELLOGGS NUTRI GRAIN | 12 OZ | 3800010400
4300012560,~PST BRN'NOLA W/RSNS,16 OZ,~PST BRN'NOLA W/RSNS | 16 OZ | 4300012560
4300012951,POST COCOA PEBBLES,13 OZ,POST COCOA PEBBLES | 13 OZ | 4300012951
4300012990,POST DINO PEBBLES,12.5OZ,POST DINO PEBBLES | 12.5OZ | 4300012990
3800003530,KELLOGG'S CRISPIX,12 OZ,KELLOGG'S CRISPIX | 12 OZ | 3800003530
3800003771,KELL RAISIN SQUARE S,1 OZ,KELL RAISIN SQUARE S | 1 OZ | 3800003771
1600084320,FROSTED CHEERIOS,28 OZ,FROSTED CHEERIOS | 28 OZ | 1600084320
1600097980,GM OATML RSN CRSP RA,19.25,GM OATML RSN CRSP RA | 19.25 | 1600097980
1780010207,~RALSTON BANANA WALN,13.5OZ,~RALSTON BANANA WALN | 13.5OZ | 1780010207
1780010537,~RASPBERRY ALMOND MU,13.5OZ,~RASPBERRY ALMOND MU | 13.5OZ | 1780010537
5200034844,POPEYE PUFFED WHEAT,6 OZ,POPEYE PUFFED WHEAT | 6 OZ | 5200034844
5537050730,LIFESTREAM FRT & NUT,12.4OZ,LIFESTREAM FRT & NUT | 12.4OZ | 5537050730
9166910113,SPIDERMAN CEREAL,12.5OZ,SPIDERMAN CEREAL | 12.5OZ | 9166910113
3828125030,~DOM BONUS PACK FR,25.5 O,~DOM BONUS PACK FR | 25.5 O | 3828125030
1313001059,NABISCO WHEAT N BRAN,18 OZ,NABISCO WHEAT N BRAN | 18 OZ | 1313001059
1313001145,NABISCO FRUIT WHEATS,15.5 O,NABISCO FRUIT WHEATS | 15.5 O | 1313001145
1780015260,RALSTON/WHEAT CHEX,16 OZ,RALSTON/WHEAT CHEX | 16 OZ | 1780015260
3800001727,KELLOGGS FRUIT LOOPS,19.7 O,KELLOGGS FRUIT LOOPS | 19.7 O | 3800001727
3800013400,~KELLOGGS CINN MINI,15.1 O,~KELLOGGS CINN MINI | 15.1 O | 3800013400
3800013710,KELLOGGS LOWFAT GRAN,20.5 O,KELLOGGS LOWFAT GRAN | 20.5 O | 3800013710
3800013800,KELLOGG'S L/F GRANOL,14 OZ,KELLOGG'S L/F GRANOL | 14 OZ | 3800013800
1600068270,BIG G TRIAL SIZE PAL,ASSTD,BIG G TRIAL SIZE PAL | ASSTD | 1600068270
3000004340,CAP'N CRNCH BERRIES,21 OZ,CAP'N CRNCH BERRIES | 21 OZ | 3000004340
3000006020,~HOME RUN CRUNCH,18.7 O,~HOME RUN CRUNCH | 18.7 O | 3000006020
3000006140,QUAKER  JUMBO CRUNCH,21 OZ,QUAKER  JUMBO CRUNCH | 21 OZ | 3000006140
3000006151,QUAKER OAT SQUARES B,32 OZ,QUAKER OAT SQUARES B | 32 OZ | 3000006151
3800004530,KELLOGGS CRACKLIN OA,17 OZ,KELLOGGS CRACKLIN OA | 17 OZ | 3800004530
3800012300,KELL BIG MIX,17.8 O,KELL BIG MIX | 17.8 O | 3800012300
3800012600,KEL OATBAKE RAISIN N,14.7OZ,KEL OATBAKE RAISIN N | 14.7OZ | 3800012600
3000034861,QUAKER SWEET PUFFS,18 OZ,QUAKER SWEET PUFFS | 18 OZ | 3000034861
3000043344,LIFE CEREALS,1 OZ,LIFE CEREALS | 1 OZ | 3000043344
1600065850,WHOLE GRAIN TOTAL,12 OZ,WHOLE GRAIN TOTAL | 12 OZ | 1600065850
1600065890,TOTAL,18 OZ,TOTAL | 18 OZ | 1600065890
3800091527,KELLOGGS BRTHDY CONF,25 OZ,KELLOGGS BRTHDY CONF | 25 OZ | 3800091527
1600065920,GENERAL MILLS CLUSTE,15.5OZ,GENERAL MILLS CLUSTE | 15.5OZ | 1600065920
3828125061,DOM APPLE CINNAMON T,15 OZ,DOM APPLE CINNAMON T | 15 OZ | 3828125061
1600068050,GOLDEN GRAHAMS,12 OZ,GOLDEN GRAHAMS | 12 OZ | 1600068050
1600068090,BUNUELITOS CEREAL,12.5OZ,BUNUELITOS CEREAL | 12.5OZ | 1600068090
1600069880,SINGLE VARIETY PACK,6 OZ,SINGLE VARIETY PACK | 6 OZ | 1600069880
4300012611,POST GRT GRAINS RAIS,16 OZ,POST GRT GRAINS RAIS | 16 OZ | 4300012611
1600066660,CHEERIOS,20 OZ,CHEERIOS | 20 OZ | 1600066660
1600087140,GM OATMEAL CRISP W/A,16.4,GM OATMEAL CRISP W/A | 16.4 | 1600087140
5200034916,POPEYE FRUIT CURLS C,14 OZ,POPEYE FRUIT CURLS C | 14 OZ | 5200034916
9166912111,SUNFLAKES CEREAL,15 OZ,SUNFLAKES CEREAL | 15 OZ | 9166912111
