upc,product,size,product_label
1600068790,MULTI GRAIN CHEERIOS,16 OZ,MULTI GRAIN CHEERIOS | 16 OZ | 1600068790
1600068890,LUCKY CHARMS,20 OZ,LUCKY CHARMS | 20 OZ | 1600068890
3800008600,KELLOGGS SW GRAHAMS,15.8 O,KELLOGGS SW GRAHAMS | 15.8 O | 3800008600
3800003510,KELLOGGS CRISPIX,17.9 O,KELLOGGS CRISPIX | 17.9 O | 3800003510
1600085920,HONEY NUT CLUSTERS,17.2 O,HONEY NUT CLUSTERS | 17.2 O | 1600085920
1600085930,BIG G TRIAL SIZE PAL,ASSTD,BIG G TRIAL SIZE PAL | ASSTD | 1600085930
1780010304,MUESLI APPLE ALMOND,13.5OZ,MUESLI APPLE ALMOND | 13.5OZ | 1780010304
1780010359,~MUESLI W/ CRANBERRI,13.5OZ,~MUESLI W/ CRANBERRI | 13.5OZ | 1780010359
1600067070,OATMEAL CRISP CEREAL,18.25O,OATMEAL CRISP CEREAL | 18.25O | 1600067070
3000006780,QUAKER 100% CEREAL H,16 OZ,QUAKER 100% CEREAL H | 16 OZ | 3000006780
3828125029,DOM FROSTED FLAKES,20 OZ,DOM FROSTED FLAKES | 20 OZ | 3828125029
3828125037,DOM TASTEEO'S,15 OZ,DOM TASTEEO'S | 15 OZ | 3828125037
1313000698,NABISCO CREAM OF RIC,14 OZ,NABISCO CREAM OF RIC | 14 OZ | 1313000698
1313001146,NAB RASPBERRY FRUIT,15.5 O,NAB RASPBERRY FRUIT | 15.5 O | 1313001146
1780014601,RALSTON RICE BRAN OP,17 OZ,RALSTON RICE BRAN OP | 17 OZ | 1780014601
1780015707,HOT WHEELS CEREAL,14 OZ,HOT WHEELS CEREAL | 14 OZ | 1780015707
1780016609,BRKFAST WITH BARBIE,14 OZ,BRKFAST WITH BARBIE | 14 OZ | 1780016609
1600068290,HONEY NUT CHEERIOS,27 OZ,HONEY NUT CHEERIOS | 27 OZ | 1600068290
3000002720,KRETCHMER TOASTED WH,12 OZ,KRETCHMER TOASTED WH | 12 OZ | 3000002720
4300011260,POST OAT FLAKES,12 OZ,POST OAT FLAKES | 12 OZ | 4300011260
1600062750,APPLE CINNAMON CHERR,15 OZ,APPLE CINNAMON CHERR | 15 OZ | 1600062750
1600064740,WHEATIES DUNKA-BALLS,13.5OZ,WHEATIES DUNKA-BALLS | 13.5OZ | 1600064740
1600065110,GM N.V LOWFAT GRANOL,17 OZ,GM N.V LOWFAT GRANOL | 17 OZ | 1600065110
1600065130,BC DUTCH APPLE CEREA,16.5OZ,BC DUTCH APPLE CEREA | 16.5OZ | 1600065130
3000034860,$QUAKER SWEET CRUNCH,16 OZ,$QUAKER SWEET CRUNCH | 16 OZ | 3000034860
