scenario_price,price_ratio,quantity_index,revenue_index,gross_profit_per_unit,gross_profit_index,upc,model_id,reference_price,reference_cost,elasticity
2.75,0.8208955223880596,1.3699416972867764,1.1245790052354134,-0.0739749999999999,-0.19265517239064514,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.76,0.8238805970149253,1.3620338657267526,1.1221532744495035,-0.06397500000000012,-0.16565014316785157,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.7699999999999996,0.8268656716417909,1.3542000340149223,1.1197415206630847,-0.05397500000000033,-0.13895337072564204,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.7799999999999994,0.8298507462686565,1.3464392462635275,1.1173436133171957,-0.04397500000000054,-0.1125605548299783,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.789999999999999,0.8328358208955221,1.3387505623106652,1.1149594235363447,-0.033975000000000755,-0.08646746895015607,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.799999999999999,0.8358208955223877,1.3311330574063909,1.1125888241008635,-0.023975000000000968,-0.06066995874971627,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8099999999999987,0.8388059701492533,1.323585821906183,1.1102316894198125,-0.013975000000001181,-0.03516394061335575,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8199999999999985,0.841791044776119,1.3161079609715651,1.1078878955044213,-0.003975000000001394,-0.009945400208856621,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8299999999999983,0.8447761194029846,1.308698594277703,1.105557319942059,0.006024999999998393,0.0149896089169166,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.839999999999998,0.8477611940298502,1.301356855727778,1.1032398418707126,0.01602499999999818,0.03964496670887366,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.849999999999998,0.8507462686567158,1.2940818931739677,1.1009353419539716,0.026024999999997966,0.06402448794230287,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8599999999999977,0.8537313432835814,1.2868728681448518,1.0986437023564994,0.03602499999999775,0.0881319235300896,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8699999999999974,0.856716417910447,1.2797289555790754,1.096364806719983,0.04602499999999754,0.11197096179938934,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.8799999999999972,0.8597014925373125,1.2726493435651058,1.0940985401395524,0.05602499999999733,0.13554522973857067,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.889999999999997,0.8626865671641782,1.2656332330869204,1.0918447891406557,0.06602499999999711,0.15885829421521835,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.899999999999997,0.8656716417910438,1.2586798377754735,1.089603441656379,0.0760249999999969,0.18191366316596444,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
2.9099999999999966,0.8686567164179094,1.2517883836657886,1.0873743870052062,0.08602499999999669,0.20471478675889032,1600066610,cheerios_categorical_promo,3.35,2.823975,-1.5948980779743518
